# N = 18, k_max = 30
467736092036065.18750000	0.00000000
-297226055402115.25000000	0.00000000
114037133820487.51562500	0.00000000
-51041313902754.86718750	0.00000000
28566962257677.35937500	0.00000000
-18231088019391.39453125	0.00000000
12639701946305.11523438	0.00000000
-9276837666990.95117188	0.00000000
7097794181826.45703125	0.00000000
-5605515542745.72460938	0.00000000
4538940417262.45898438	0.00000000
-3750252154083.84082031	0.00000000
3150651806597.43750000	0.00000000
-2684178983620.35009766	0.00000000
2314145361495.73486328	0.00000000
-2015684676313.54077148	0.00000000
1771458807012.15991211	0.00000000
-1569079310898.79418945	0.00000000
1399503547838.57690430	0.00000000
-1256006011203.03710938	0.00000000
1133500617358.24243164	0.00000000
-1028083479765.47656250	0.00000000
936717835260.37597656	0.00000000
-857012764811.08154297	0.00000000
787065101840.11267090	0.00000000
-725344716256.00524902	0.00000000
670610086717.85900879	0.00000000
-621845354401.40209961	0.00000000
578212831108.76184082	0.00000000
-539016772519.93121338	0.00000000
503675462937.76257324	0.00000000
